ID,realSum,room_type,person_capacity,bedrooms,dist,metro_dist,City,Host_ID
242,654.98,Private room,2,1,1.2,0.4,Amsterdam,1
243,277.46,Private room,2,1,4.0,0.1,Amsterdam,1
244,498.91,Private room,4,2,3.9,0.2,Amsterdam,3
245,491.65,Entire home/apt,4,2,3.1,0.5,Amsterdam,3
246,442.43,Private room,2,1,2.1,2.0,Amsterdam,3
247,202.7,Private room,2,1,8.3,3.3,Amsterdam,4
248,258.01,Shared room,3,1,7.2,3.0,Amsterdam,1
249,245.82,Private room,2,1,3.9,1.2,Amsterdam,4
250,669.74,Entire home/apt,4,2,2.5,2.0,Amsterdam,3
251,453.45,Entire home/apt,2,1,2.9,0.9,Amsterdam,1
252,706.54,Entire home/apt,4,3,2.5,2.0,Amsterdam,4
253,1038.36,Entire home/apt,4,2,0.2,0.3,Amsterdam,4
254,2500.88,Entire home/apt,4,1,1.4,1.2,Amsterdam,3
255,399.55,Private room,2,0,1.0,0.7,Amsterdam,1
256,407.99,Private room,2,0,1.7,0.1,Amsterdam,3
257,407.99,Private room,2,0,1.8,0.1,Amsterdam,1
258,319.41,Private room,2,1,1.1,1.2,Amsterdam,5
259,817.14,Entire home/apt,4,3,4.2,0.2,Amsterdam,2
260,792.77,Entire home/apt,6,3,6.4,2.5,Amsterdam,2
261,274.18,Private room,2,1,1.2,0.6,Amsterdam,2
262,774.26,Entire home/apt,2,1,0.3,0.4,Amsterdam,3
263,221.22,Private room,2,1,9.2,0.3,Amsterdam,5
264,436.34,Private room,2,0,1.1,0.6,Amsterdam,1
265,974.62,Entire home/apt,3,1,1.2,0.3,Amsterdam,4
266,1044.69,Entire home/apt,5,3,3.5,1.7,Amsterdam,1
267,607.18,Private room,4,1,1.4,1.3,Amsterdam,4
268,314.48,Private room,2,1,2.1,0.2,Amsterdam,1
269,390.65,Private room,2,1,1.4,1.3,Amsterdam,5
270,449.7,Private room,4,1,0.2,0.5,Amsterdam,4
271,181.85,Private room,2,1,2.7,1.5,Amsterdam,3
272,2458.23,Entire home/apt,5,3,1.2,0.9,Amsterdam,1
273,410.33,Entire home/apt,2,1,2.0,1.3,Amsterdam,1
274,771.68,Entire home/apt,2,1,2.7,0.6,Amsterdam,4
275,415.25,Entire home/apt,4,2,7.1,3.2,Amsterdam,3
276,577.41,Entire home/apt,2,1,1.2,0.5,Amsterdam,3
277,531.95,Entire home/apt,2,1,1.2,1.0,Amsterdam,5
278,552.81,Entire home/apt,4,2,6.3,4.4,Amsterdam,3
279,1651.86,Entire home/apt,4,3,0.9,0.8,Amsterdam,3
280,282.85,Entire home/apt,2,1,4.0,1.2,Amsterdam,3
281,348.0,Private room,4,2,7.4,2.5,Amsterdam,2
282,485.55,Entire home/apt,3,2,2.4,1.4,Amsterdam,5
283,436.34,Private room,2,1,0.7,0.3,Amsterdam,1
284,221.22,Private room,2,1,2.8,1.3,Amsterdam,4
285,460.95,Entire home/apt,2,1,1.7,0.0,Amsterdam,1
286,552.81,Entire home/apt,4,3,8.1,3.3,Amsterdam,5
287,368.85,Entire home/apt,2,1,7.0,0.1,Amsterdam,4
288,209.03,Private room,2,0,4.6,0.9,Amsterdam,5
289,568.98,Private room,3,0,0.5,0.3,Amsterdam,3
290,1044.69,Entire home/apt,4,2,1.7,0.4,Amsterdam,4
291,489.3,Entire home/apt,2,1,0.5,0.1,Amsterdam,3
292,239.73,Private room,2,1,1.9,0.8,Amsterdam,1
293,734.89,Entire home/apt,4,2,0.8,0.6,Amsterdam,1
294,274.18,Private room,2,1,3.2,0.6,Amsterdam,4
295,399.55,Private room,2,1,1.1,0.5,Amsterdam,4
296,337.92,Private room,3,1,3.0,1.7,Amsterdam,5
297,474.07,Entire home/apt,4,2,7.5,3.3,Amsterdam,5
298,534.76,Entire home/apt,2,1,2.3,1.7,Amsterdam,3
299,436.34,Private room,2,0,1.0,0.6,Amsterdam,4
300,1112.18,Entire home/apt,4,2,0.9,0.9,Amsterdam,1
301,614.44,Private room,4,2,0.9,0.9,Amsterdam,5
302,202.7,Private room,2,1,3.6,1.1,Amsterdam,5
303,430.25,Entire home/apt,2,1,3.5,1.3,Amsterdam,1
304,243.25,Private room,2,1,7.1,0.2,Amsterdam,5
305,277.69,Private room,2,1,2.8,1.6,Amsterdam,3
306,356.43,Private room,2,1,2.9,1.0,Amsterdam,4
307,555.39,Private room,3,1,0.4,0.4,Amsterdam,1
308,352.68,Entire home/apt,2,1,4.8,0.3,Amsterdam,4
309,318.23,Private room,4,1,0.6,0.7,Amsterdam,5
310,368.62,Entire home/apt,2,1,1.8,1.6,Amsterdam,5
311,774.26,Private room,4,1,3.2,2.0,Amsterdam,1
312,1029.93,Entire home/apt,4,1,1.8,0.4,Amsterdam,3
313,326.67,Entire home/apt,4,3,3.9,2.0,Amsterdam,2
314,299.72,Private room,2,1,3.8,1.1,Amsterdam,1
315,688.02,Entire home/apt,4,2,4.9,0.8,Amsterdam,2
316,399.32,Entire home/apt,3,1,2.7,1.7,Amsterdam,2
317,362.52,Entire home/apt,2,2,2.5,0.1,Amsterdam,3
318,350.1,Private room,2,0,1.2,1.3,Amsterdam,2
319,1038.36,Entire home/apt,2,1,1.8,1.7,Amsterdam,2
320,432.36,Private room,2,1,1.4,1.4,Amsterdam,3
321,337.68,Private room,2,1,1.6,0.9,Amsterdam,2
322,1118.27,Entire home/apt,4,3,2.0,0.2,Amsterdam,2
323,335.58,Private room,2,0,3.3,0.9,Amsterdam,2
324,468.21,Entire home/apt,2,1,2.5,1.5,Amsterdam,1
325,241.84,Private room,2,1,6.3,2.0,Amsterdam,1
326,1739.04,Entire home/apt,4,2,2.1,0.2,Amsterdam,1
327,368.62,Entire home/apt,2,1,6.3,2.4,Amsterdam,3
328,346.59,Private room,2,0,2.0,0.4,Amsterdam,5
329,417.83,Private room,4,2,2.9,1.0,Amsterdam,2
330,421.34,Entire home/apt,2,1,1.7,1.9,Amsterdam,2
331,712.86,Entire home/apt,2,1,1.1,1.2,Amsterdam,3
332,308.39,Private room,3,1,1.9,1.5,Amsterdam,2
333,333.23,Private room,2,0,2.1,0.1,Amsterdam,1
334,356.2,Private room,2,1,1.9,0.8,Amsterdam,5
335,351.51,Private room,2,0,1.6,0.2,Amsterdam,4
336,264.34,Private room,2,1,3.5,2.4,Amsterdam,2
337,344.25,Private room,2,1,2.6,1.9,Amsterdam,1
338,515.78,Entire home/apt,4,3,2.7,1.3,Amsterdam,4
339,491.65,Entire home/apt,6,3,4.1,0.7,Amsterdam,5
340,501.25,Entire home/apt,2,1,2.3,1.6,Amsterdam,4
341,552.81,Entire home/apt,3,1,1.5,1.4,Amsterdam,1
342,386.19,Private room,2,1,0.3,0.2,Amsterdam,4
343,1136.55,Entire home/apt,4,2,0.4,0.2,Amsterdam,3
344,268.09,Private room,2,0,8.4,3.3,Amsterdam,4
345,319.41,Private room,2,1,3.3,1.8,Amsterdam,2
346,1210.37,Entire home/apt,4,3,8.0,3.4,Amsterdam,2
347,540.62,Entire home/apt,4,2,3.5,2.1,Amsterdam,3
348,1044.69,Entire home/apt,2,1,2.2,0.5,Amsterdam,1
349,539.69,Entire home/apt,6,3,5.3,3.0,Amsterdam,2
350,485.55,Entire home/apt,2,1,3.6,1.4,Amsterdam,5
351,178.1,Private room,2,1,8.9,0.4,Amsterdam,2
352,661.31,Private room,4,2,0.3,0.3,Amsterdam,2
353,1572.89,Private room,4,4,0.2,0.2,Amsterdam,1
354,329.48,Private room,2,1,0.4,0.3,Amsterdam,4
355,436.11,Entire home/apt,2,0,3.4,0.4,Amsterdam,2
356,722.24,Entire home/apt,4,1,2.1,0.6,Amsterdam,3
357,399.55,Entire home/apt,4,2,2.0,1.9,Amsterdam,4
358,602.02,Entire home/apt,2,1,2.6,0.6,Amsterdam,5
359,319.41,Private room,4,2,7.4,0.3,Amsterdam,1
360,817.14,Entire home/apt,4,2,2.2,0.5,Amsterdam,5
361,439.86,Entire home/apt,4,3,4.7,0.8,Amsterdam,4
362,546.72,Entire home/apt,3,2,2.5,1.9,Amsterdam,4
363,1161.16,Entire home/apt,6,4,1.1,0.4,Amsterdam,4
364,393.46,Private room,2,1,1.7,1.7,Amsterdam,5
365,386.19,Private room,2,1,0.3,0.3,Amsterdam,4
366,540.62,Entire home/apt,2,1,0.9,0.8,Amsterdam,5
367,614.44,Entire home/apt,4,2,1.5,0.2,Amsterdam,4
368,196.61,Private room,2,1,4.5,0.6,Amsterdam,3
369,784.1,Entire home/apt,5,2,1.3,1.4,Amsterdam,4
370,675.6,Private room,4,1,1.2,0.6,Amsterdam,5
371,259.41,Private room,3,1,2.7,0.6,Amsterdam,2
372,467.04,Private room,2,1,1.6,1.3,Amsterdam,4
373,442.67,Private room,2,1,0.3,0.4,Amsterdam,2
374,436.11,Private room,2,1,0.3,0.5,Amsterdam,3
375,473.13,Private room,2,1,0.9,0.7,Amsterdam,1
376,371.19,Entire home/apt,2,1,1.3,0.8,Amsterdam,3
377,298.78,Entire home/apt,2,1,1.3,0.8,Amsterdam,4
378,143.65,Private room,2,1,6.5,0.2,Amsterdam,2
379,917.91,Entire home/apt,4,2,3.6,0.4,Amsterdam,2
380,165.68,Private room,2,1,8.8,0.8,Amsterdam,5
381,968.29,Entire home/apt,6,3,2.6,0.8,Amsterdam,2
382,548.12,Entire home/apt,3,2,3.0,1.4,Amsterdam,5
383,636.7,Entire home/apt,2,1,1.1,0.5,Amsterdam,1
384,642.56,Entire home/apt,4,2,1.8,0.8,Amsterdam,4
385,344.25,Private room,2,1,0.3,0.3,Amsterdam,5
386,373.77,Private room,2,1,0.9,1.1,Amsterdam,1
387,737.23,Entire home/apt,2,1,1.5,0.3,Amsterdam,2
388,194.03,Private room,2,1,11.0,0.6,Amsterdam,2
389,2061.96,Entire home/apt,4,4,1.3,0.4,Amsterdam,1
390,282.85,Private room,2,1,2.8,1.6,Amsterdam,2
391,1130.69,Entire home/apt,4,3,2.2,0.4,Amsterdam,1
392,669.74,Entire home/apt,2,1,3.1,2.0,Amsterdam,5
393,233.64,Private room,2,1,4.1,0.3,Amsterdam,5
394,636.7,Entire home/apt,2,1,2.6,0.5,Amsterdam,1
395,552.81,Entire home/apt,4,2,9.2,0.7,Amsterdam,5
396,368.85,Private room,2,1,0.7,0.6,Amsterdam,5
397,855.34,Entire home/apt,6,1,2.6,0.8,Amsterdam,5
398,675.84,Entire home/apt,4,1,2.6,0.8,Amsterdam,3
399,243.25,Private room,2,1,7.3,0.3,Amsterdam,4
400,391.82,Private room,2,0,0.9,0.7,Amsterdam,2
401,491.65,Entire home/apt,2,2,0.7,0.5,Amsterdam,3
402,549.53,Private room,3,0,1.0,0.6,Amsterdam,5
403,422.75,Private room,4,1,0.3,0.5,Amsterdam,1
404,438.92,Private room,2,1,1.2,1.1,Amsterdam,5
405,368.85,Entire home/apt,2,1,2.1,1.9,Amsterdam,4
406,602.02,Entire home/apt,4,2,3.6,1.4,Amsterdam,5
407,280.04,Private room,2,1,4.6,0.7,Amsterdam,1
408,447.59,Private room,2,0,2.1,1.0,Amsterdam,4
409,362.52,Private room,4,1,4.6,0.1,Amsterdam,5
410,191.69,Private room,2,1,6.6,0.4,Amsterdam,4
411,626.63,Private room,2,1,0.5,0.3,Amsterdam,2
412,409.39,Private room,2,1,1.5,1.2,Amsterdam,2
413,271.6,Private room,2,1,3.4,2.4,Amsterdam,5
414,345.42,Private room,2,1,2.7,1.3,Amsterdam,4
